permno,comnam
13696,PACIFIC TELEPHONE & TELEG CO
13697,AMERICAN RESEARCH MGMT CORP
13734,AMERICAN SECURITY CORP
13814,AMERICAN STATES LIFE INS CO
13821,PEOPLES GAS CO
13856,PEPSICO INC
13901,PHILIP MORRIS INC
13902,AMERICAN UNDERWRITERS GROUP INC
13928,PHILLIPS PETROLEUM CO
13936,PHILLIPS VAN HEUSEN CORP
13945,AMERICAN VISION CTRS INC
13953,AMERICAN WELDING & MFG CO
13961,AMERICAN WESTERN CORP
13980,AMERITRUST CORP
14066,PULLMAN INC
14090,R C A CORP
14091,AMOSKEAG CO
14163,AMTERRE DEVELOPMENT INC
14189,REPUBLIC STEEL CORP
14190,ANADITE INC
14197,RESTAURANT ASSOCIATES INDS INC
14198,ANALOGIC CORP
14218,REYNOLDS R J INDUSTRIES INC
14219,ANALYSTS INTERNATIONAL CORP
14227,ANAREN MICROWAVE INC
14250,ST JOE MINERALS CORP
14270,ANCORP BANCSHARES INC
14286,ANDERSEN GROUP INC
14294,ANDERSEN 2000 INC
14306,SEAGRAVE CORP
14307,ANDERSON INDUSTRIES INC TX
14322,SEARS ROEBUCK & CO
14349,SHIRE NATIONAL CORP
14357,SHELL OIL CO
14446,ANTARES OIL CORP
14454,ANTENNAS FOR COMMUNICATIONS
14461,SONESTA INTERNATIONAL HOTELS CP
14496,SOUTHERN PACIFIC CO
14509,SOUTHERN RAILWAY CO
14525,SPERRY CORP
14526,APOGEE ENTERPRISES INC
14533,STANDARD BRANDS INC
14541,STANDARD OIL CO CALIFORNIA
14569,APOLLO LASERS INC
14577,APPALACHIAN NATIONAL CORP
14592,STERLING DRUG INC
14605,STEWART WARNER CORP
14656,SUN INC
14702,APPLIED MATERIALS INC
14729,APPLIED MEDICAL DEVICES INC
14736,TEXACO INC
14737,APPLIED SOLAR ENERGY CORP
14760,TEXASGULF INC
14761,ARABIAN SHIELD DEV CO
14788,ARAPAHO PETROLEUM INC
14795,TIMKEN CO
14816,TOOTSIE ROLL INDS INC
14824,TRANS UNION CORP
14825,ARCHIE ENTERPRISES INC
14859,TWENTIETH CENTURY FOX FILM CORP
14867,U V INDUSTRIES INC
14868,ARDEN GROUP INC
14883,UNION CAMP CORP
14891,UNION OIL CO CALIF
14892,ARGONAUT ENERGY CORP
14912,UNIROYAL INC
14940,ARIZONA BK PHOENIX
14955,UNITED BRANDS CO
15034,UNITED STATES INDUSTRIES INC
15035,NEW PENN MTR EXPRESS INC
15069,UNITED STATES STEEL CORP
15077,UNITED STS TOB CO
15115,ARTCO BELL CORP
15123,ARTEK SYSTEMS CORP
15202,VULCAN MATERIALS CO
15203,ARTS WAY MANUFACTURING INC
15229,WALLACE MURRAY CORP
15317,WESTERN MARYLAND RY CO
15318,ASSOCIATED BANC CORP
15325,WESTERN UNION CORP
15326,ASSOCIATED COCA COLA BOTTLING
15368,WESTINGHOUSE ELECTRIC CORP
15385,ASSOCIATED HOSTS INC
15449,ASTROCOM CORP
15456,WOOLWORTH F W CO
15457,ASTRONICS CORP
15465,ASTROSYSTEMS INC
15472,WRIGLEY WILLIAM JR CO
15481,ATHENA COMMUNICATIONS CORP
15553,ATLANTA GAS LIGHT CO
15560,TANDY CORP
15561,ATLANTA LA SALLE CORP
15579,TEXAS INSTRUMENTS INC
15580,ATLANTIC AMERICAN CORP
15588,ATLANTIC BANCORPORATION
15641,ATLANTIC OIL CORP
15659,UNION CARBIDE CORP
15667,AMERICAN HOME PRODUCTS CORP
15676,ATLANTIC RESEARCH CORP
15705,ATLANTIC TELECASTING CORP
15712,COLLINS & AIKMAN CORP
15713,ATLAS HOTELS INC
15720,SOUTHERN CALIFORNIA EDISON CO
15721,ATWOOD OCEANICS INC
15747,INTERLAKE INC
15763,A M F INC
15801,AUTHENTICOLOR INC
15820,AUTO TROL TECHNOLOGY CORP
15836,AUTODYNAMICS INC
15843,AMERICAN BAKERIES CO
15879,AUTOMATED MARKETING SYS INC
15915,PENN DIXIE INDUSTRIES INC
15923,CITY INVESTING CO
15959,AUTOMOCO CORP
15966,MOBIL CORP
15967,AUTONUMERICS INC
15974,AMERICAN SHIP BLDG CO
15975,AUTOTROL CORP
15983,AUXTON COMPUTER ENTERPRISES
16011,AVANTEK INC
16029,DIAMOND INTERNATIONAL CORP
16053,INSILCO CORP
16088,WHITE CONSOLIDATED INDS INC
16109,GENERAL FOODS CORP
16117,HACKENSACK WATER CO
16126,AZTEC MANUFACTURING CO
16141,AMERICAN SEATING CO
16142,AZTECH INTERNATIONAL LTD
16169,B B D O INTERNATIONAL INC
16336,QUESTOR CORP
16360,PILLSBURY CO
16361,BAIRD CORP
16380,BAKER BROTHERS INC FL
16417,BALDWIN & LYONS INC
16424,GILLETTE CO
16432,GOODYEAR TIRE & RUBBER CO
16468,BALTEK CORP
16505,BANCO DE PONCE P R
16512,MACANDREWS & FORBES CO
16513,BANCO POPULAR DE P R
16521,BANCOHIO CORP
16540,BANCOKLAHOMA CORP
16548,BANCORP HAWAII INC
16555,UNIVERSAL LEAF TOB INC
16556,B O P CORP
16571,BORDEN INC
16572,BANCWEST CORP
16598,G K TECHNOLOGIES INC
16599,BANGOR HYDRO ELECTRIC CO
16600,HERSHEY FOODS CORP
16601,BANK AGRICULTURE & COMMERCE CA
16620,BANK COMMERCE NEW YORK N Y
16628,BANK COMMONWEALTH DETROIT MICH
16636,BANK DEL WILMINGTON
16651,BUCYRUS ERIE CO
16678,KROGER CO
16687,BANK MONTANA SYSTEMS
16695,NEW ENGLAND MERCHANTS INC
16707,JOHNS MANVILLE CORP
16715,STANDARD COMMERCIAL TOB INC
16716,FULTON NATL CORP
16759,BANK COMPUTER NETWORK CORP
16803,NATIONAL CAN CORP
16812,BANKERS TRUST S C COLUMBIA
16847,BANKS IOWA INC
16855,LIBERTY NATL CORP
16870,PACIFIC LTG CORP
16890,BANTA GEORGE INC
16919,BARBER GREENE CO
16935,BARDEN CORP
16986,BARRINGER RESOURCES INC
16994,BARRIS CHUCK PRODUCTIONS INC
17005,MELVILLE CORP
17022,BASCO INC
17049,BASE TEN SYS INC
17073,BASIC EARTH SCIENCE SYS INC
17128,CROWN ZELLERBACH CORP
17129,BASS FINANCIAL CORP
17137,BASSETT FURNITURE INDUSTRIES INC
17144,GENERAL MILLS INC
17153,BASTIAN BLESSING INC DE
17188,BAYAMON FED SVGS & LN ASSN P R
17196,BAYBANKS INC
17217,BAYLESS A J MKTS INC
17224,ADAMS MILLIS CORP
17225,BAYLY CORP
17240,ANCHOR HOCKING CORP
17268,BEACON PHOTO SVC INC
17277,TRANS WORLD CORP
17291,SAFEWAY STORES INC
17292,BEAR CREEK CORP
17304,ALLIED STORES CORP
17338,CENTRAL LOUISIANA ENERGY CORP
17340,TIGER INTERNATIONAL INC
17347,MARTIN PROCESSING INC
17348,BECK ARNLEY CORP
17399,BEELINE INC
17400,ALLEGHANY CORP MD
17420,BEGLEY DRUG CO
17428,BEKINS CO
17435,EVANS PRODUCTS CO
17443,LEHIGH VALLEY INDS INC
17478,MCGRAW HILL INC
17487,BELKNAP INC
17495,BELL W & CO INC
17508,PACIFIC COAST HOLDINGS INC
17523,SPARTON CORP
17566,ARMCO INC
17590,BORG WARNER CORP
17646,REVERE COPPER & BRASS INC
17655,BENGAL OIL & GAS CORP
17670,AMERICAN DISTILLING CO
17698,BENNETT PETROLEUM CORP
17719,BENTLEY LABS INC
17726,CROWN CORK & SEAL CO INC
17743,BERKLEY W R CORP
17750,KIMBERLY CLARK CORP
17751,BERKLINE CORP
17770,BERKSHIRE GAS CO
17778,BERKSHIRE HATHAWAY INC DEL
17806,PHELPS DODGE CORP
17814,SHARON STEEL CORP
17815,BETZ LABORATORIES INC
17822,SYBRON CORP
17830,UNITED TECHNOLOGIES CORP
17831,BEVERAGE MANAGEMENT INC
17850,BEVERLY HILLS SVGS & LN ASSN
17874,BIBB CO
17902,PORTEC INC
17929,U G I CORP
17938,BIG DRUM INC
17953,BEATRICE FOODS CO
17954,BILLINGS ENERGY CORP
17961,BRIGGS & STRATTON CORP
18016,HERCULES INC
18017,BIO MEDICUS INC
18025,BIO RESPONSE INC
18032,SCOTT PAPER CO
18060,BIOCHEM INTERNATIONAL INC
18067,ZENITH RADIO CORP
18075,AMPCO PITTSBURGH CORP
18076,BIOMEDICAL REFERENCE LABS INC
18091,CURTISS WRIGHT CORP
18105,BIOMETRICS INC
18112,FOSTER WHEELER CORP
18147,LIBBEY OWENS FORD CO
18148,BIOSPHERICS INC
18156,BIRD & SON INC
18163,PROCTER & GAMBLE CO
18198,STONE & WEBSTER INC
18199,BIO GAS COLORADO INC
18200,TRANSWAY INTERNATIONAL CORP
18251,EASCO CORP
18278,INTERCO INC
18286,RAYBESTOS MANHATTAN INC
18315,ALPHA PORTLAND INDS INC
18316,BIRTCHER CORP
18324,BISHOP GRAPHICS INC
18332,BITCO CORP
18359,BLACK ANGUS SYS INC
18374,HONEYWELL INC
18382,MONSANTO CO
18391,BLACK INDUSTRIES INC
18403,PENNEY J C CO INC
18411,SOUTHERN CO
18438,STARRETT L S CO
18439,BLASIUS INDS INC
18446,CLARK EQUIPMENT CO
18455,BLOCK DRUG INC
18490,BLUE CHIP STAMPS
18527,BLUEFIELD SUPPLY CO
18542,CATERPILLAR TRACTOR INC
18550,FEDERATED DEPARTMENT STORES INC
18551,BOATMENS BANCSHARES INC
18569,FIRESTONE TIRE & RUBBER CO
18570,BOB EVANS FARMS INC
18606,AVCO CORP
18623,BOHEMIA INC
18631,BOKUM RESOURCES CORP
18649,PITTSTON CO
18658,BOMAINE CORP
18673,MIDLAND ROSS CORP
18681,T R W INC
18682,BONANZA INTERNATIONAL INC
18710,CARRIERS & GENERAL CORP
18729,COLGATE PALMOLIVE CO
18796,SUN CHEMICAL CORP
18817,ALLEGHENY LUDLUM INDS INC
18826,BORDEAUX PETROLEUM CO
18834,BOSTON DIGITAL CORP
18877,BOSTON INC
18884,MARSHALL FIELD & CO DE
18905,PEOPLES DRUG STORES INC
18921,REYNOLDS METALS CO
18922,BOWLINE CORP
18948,ROCKWELL INTERNATIONAL CORP
18949,BOZZUTOS INC
18980,A M INTERNATIONAL INC
18981,BRADY ENERGY CORP
18999,COMBUSTION ENGINEERING INC
19019,NATIONAL STEEL CORP
19020,BRAE CORP
19027,CELANESE CORP
19028,BRAEWOOD DEVELOPMENT CORP
19035,H M W INDUSTRIES INC
19043,MARINE MIDLAND BKS INC
19051,TRANSAMERICA CORP
19079,BRAND INSULATIONS INC
19087,BRANDYWINE SPORTS INC
19107,LANE BRYANT INC
19108,BRASS CRAFT MFG CO
19131,UNITED STATES GYPSUM CO
19158,SEARS INDUSTRIES INC
19159,BRENCO INC
19166,F M C CORP
19167,BRENNAND PAIGE INDS INC
19174,GENERAL HOST CORP
19175,BRENNER COMPANIES INC
19191,BRENTON BANKS INC
19238,WHEELING PITTSBURGH STL CORP
19254,DRESSER INDUSTRIES INC
19271,BRIDGFORD FOODS CORP
19289,MESTA MACH CO
19290,BRIGADIER INDUSTRIES CORP SC
19297,COLUMBIA PICTURES INDS INC DE
19298,BRIGGS TRANSPORTATION CO
19334,WHITE MOTOR CORP
19350,DEERE & CO
19351,BRISTOL PRODS INC
19377,BENEFICIAL CORP
19378,BROADVIEW FINL CORP
19393,BRISTOL MYERS CO
19394,BROCK EXPLORATION CORP
19406,DART INDUSTRIES INC
19414,GETTY OIL CO
19430,RICHARDSON MERRELL INC
19466,BROOKS RESOURCES CORP
19474,BROOKS SCANLON INC
19482,BROOKWOOD HEALTH SVCS INC
19502,WALGREEN CO
19530,BROUGHAM INDUSTRIES INC
19537,N C R CORP
19546,BROWN TOM INC
19553,STANDARD OIL CO IND
19561,BOEING CO
19589,BRUNOS INC
19596,U A L INC
19597,BUCK ENGINEERING INC
19610,BUCKEYE FEDERAL SVGS & LN ASSN
19626,BUCKEYE INTERNATIONAL INC
19642,BUENO COEUR D ALENE INC
19676,NATOMAS CO
19692,ARMSTRONG CORK CO
19713,ESMARK INC
19721,GREYHOUND CORP
19764,ARMADA CORP
19802,BURKE MILLS INC
19828,D W G CORP
19829,BURKE SECURITY INC
19852,SMITH A O CORP
19880,BURNUP & SIMS INC
19887,HOLLY SUGAR CORP
19895,MEAD CORP
19896,BURRIS INDUSTRIES INC
19933,BURTON HAWKS INC
19940,WALKER HIRAM GOODERHAM & WORTS
19968,BUSINESS MENS ASSURN CO AMER
19975,KEYSTONE CONSOLIDATED INDS INC
19992,BUTLER MANUFACTURING CO DE
20002,BUTLER NATIONAL CORP
20037,REDFERN FOODS CORP
20045,C & R CLOTHIERS INC
20053,C B & T BANCSHARES INC
20061,C B T CORP
20079,SQUARE D CO
20088,CENTRAL CAROLINA BK & TR CO
20095,MURPHY G C & CO
20096,C C N B CORP
20124,HOUSEHOLD FINANCE CORP
20133,C D M LIQUIDATION CO
20160,C F S CONTINENTAL INC
20167,FLINTKOTE CO
20176,C I C FINANCIAL CORP
20183,QUAKER ST OIL REFNG CORP
20204,CRANE CO
20220,BLACK & DECKER MFG CO
20239,EL PASO CO
20247,HAJOCA CORP ME
20263,MCGRAW EDISON CO
20264,C N L FINANCIAL CORP
20320,C P T CORP
20343,ROPER CORP
20386,MASONITE CORP
20394,OUTBOARD MARINE CORP
20407,STOKELY VAN CAMP INC
20408,CINE VIDEO INTERNATIONAL CORP
20415,TALCOTT NATIONAL CORP
20458,ATLAS CORP
20474,S C M CORP
20482,ABBOTT LABORATORIES
20491,CABOT J P EQUITY CORP
20512,CACI INC
20562,MARTIN MARIETTA CORP
20570,NATIONAL GYPSUM CO
20589,CYCLOPS CORP
20598,CAL MAINE FOODS INC
20618,CARPENTER TECHNOLOGY CORP
20626,DOW CHEMICAL CO
20677,BURLINGTON INDUSTRIES INC
20693,SUNSHINE MINING CO
20694,CALIFORNIA FIRST BANK SAN FRAN
20714,BOND INDUSTRIES INC
20715,CALIFORNIA LEISURE PRODS INC
20723,CALIFORNIA MICROWAVE INC
20730,C B S INC
20750,CALIFORNIA WATER SERVICE CO
20765,GENERAL TIRE & RUBR CO
20774,CALLON PETROLEUM CO
20811,CALNY FOOD SERVICES INC
20853,COMMONWEALTH EDISON CO
20889,CAM OR INC
20897,CAMBRIDGE MEMORIES
20909,EX CELL O CORP
20917,PACIFIC TIN CONS CORP
20942,CAMBRIDGE NUCLEAR CORP
20968,UNITED MERCHANTS & MFRS INC
20969,CAMBRIDGE ROYALTY CO
20976,EASTERN AIR LINES INC
20984,PAN AMERN WORLD AWYS INC
20993,BEEF & BISON BREEDERS
21004,GENERAL TEL & ELECTRS CORP
21020,AMERICAN AIRLS INC
21039,EDISON BROTHERS STORES INC
21055,GENESCO INC
21119,REXNORD INC
21127,BLISS & LAUGHLIN INDS INC
21135,FERRO CORP
21143,ARVIN INDUSTRIES INC
21178,LOCKHEED CORP
21179,CANRAD HANOVIA INC
21186,WESTVACO CORP
21194,AMERICAN INVESTMENT CO
21207,NEWMONT MINING CORP
21231,WASHINGTON GAS LT CO
21232,NATIONAL INDUSTRIAL SVCS CORP
21258,COPPERWELD CORP
21274,GRUMMAN CORP
21275,CAPITOL BANCORPORATION
21282,CHRIS CRAFT INDS INC
21290,MORTON NORWICH PRODS INC DEL
21291,CAPITOL TRANSAMERICA CORP
21303,ROYAL CROWN COS INC
21338,FEDERAL MOGUL CORP
21339,CARBOLINE CO
21363,CARDIFF COMMUNICATIONS INC
21370,INDIANAPOLIS PWR & LT CO
21397,CHAMPION INTERNATIONAL CORP
21434,CONGOLEUM CORP
21450,STANDARD OIL CO OH
21451,CARE CENTERS INC DE
21485,NORTHWEST AIRLINES INC
21494,CARHART PHOTO INC
21514,SOUTHERN NAT RES INC
21522,FRUEHAUF CORP
21523,CARIBOU ENERGY INC
21531,CARLSBERG CAPITAL CORP
21549,A V C CORP
21557,JOY MANUFACTURING CO
21573,INTERNATIONAL PAPER CO
21611,CAROLINA CASUALTY INSURANCE CO
21629,BUFFALO FORGE CO
21630,CARPENTER PAPER CO OF NE DE
21653,HAYES ALBION CORP
21709,SUPERIOR OIL CO
21726,CASCADE CORP
21733,BEECH AIRCRAFT CORP
21734,CASCADE STEEL ROLLING MILLS
21768,GULF OIL CORP
21776,PHILADELPHIA ELECTRIC CO
21777,CATALINA SAVINGS & LOAN ASSN
21792,HOUSTON INDUSTRIES INC
21793,CATO CORP
21806,CAVCO INDUSTRIES INC
21821,CONSOLIDATED NATURAL GAS CO
21857,CEDAR POINT INC
21864,BRANIFF INTERNATIONAL CORP
21872,EAGLE PICHER INDS INC
21873,CELINA FINANCIAL CORP
21928,IDAHO POWER CO
21936,PFIZER INC
21945,CENCOR INC
21960,CHESAPEAKE CORP VA
21979,COOPER INDUSTRIES INC
21995,NORTHWEST INDUSTRIES INC
22008,FIRST UN BANCORPORATION
22023,MONARCH MACHINE TOOL CO
22024,CENTRAL BANCORPORATION INC
22032,CENTRAL BANCSHARES SOUTH INC
22059,CENTRAL BANKING SYSTEM INC
22066,NATIONAL SERVICE INDUSTRIES INC
22075,CENTRAL FIDELITY BANKS INC
22082,PANHANDLE EASTERN PIPE LINE CO
22083,CENTRAL JERSEY BK & TR FREEHOLD
22103,EMERSON ELECTRIC CO
22111,JOHNSON & JOHNSON
22112,CENTRAL NATIONAL CHICAGO CORP
22138,SOO LINE RR CO
22147,CENTRAL NATIONAL FINANCIAL CORP
22170,KOPPERS CO
22189,NATIONAL AIRLINES INC
22190,CENTRAL PENN NATL CORP
22218,WESTERN PACIFIC INDS INC DE
22226,CUNNINGHAM DRUG STORES INC
22227,CENTRAL STATE BANK N Y
22234,PENNWALT CORP
22235,CENTRAL WISCONSIN BANKSHARES INC
22243,CENTRAN CORP
22250,HART SCHAFFNER & MARX
22251,CENTURA ENERGY CORP
22269,WESTERN AIR LINES INC
22270,ALLIED LEISURE INDS
22277,ANDERSON CLAYTON & CO
22278,CENTURY BANKS INC
22285,CADENCE INDUSTRIES CORP
22293,CORNING GLASS WORKS
22307,CENTURY OIL & GAS CORP DE
22315,CENTURY PAPERS INC
22322,BELL & HOWELL CO
22331,CENTURY PROPERTIES
22373,LUKENS STEEL CO
22410,SEABOARD COAST LINE INDS INC
22429,WARD FOODS INC
22437,CENTRAL HUDSON GAS & ELEC CORP
22445,G R M INDUSTRIES INC
22461,MOORE MCCORMACK RESOURCES INC
22489,CETRON ELECTRONICS CORP
22496,FLORIDA PWR CORP
22509,P P G INDUSTRIES INC
22517,PENNSYLVANIA POWER & LIGHT CO
22541,GENERAL PUBLIC UTILS CORP
22568,GOULD INC
22585,CHAMPION PARTS REBUILDERS INC
22592,MINNESOTA MINING & MFG CO
22605,N V F CO
22613,PUBLIC SERVICE CO CO
22614,CHANDEL ENTERPRISES INC
22621,REPUBLIC CORP
22648,DOCTOR PEPPER CO
22664,UNARCO INDUSTRIES INC DE
22673,CHAPARRAL RESOURCES INC
22680,CINCINNATI MILACRON INC
22699,DAYCO CORP
22728,LOWENSTEIN M CORP
22729,CHARLES RIVER BREEDING LABS
22752,MERCK & CO INC
22753,CHARMING SHOPPES INC
22760,MOHASCO CORP
22779,MOTOROLA INC
22787,PUBLICKER INDUSTRIES INC
22817,FIRST NATL CHARTER CORP
22825,CHARVOZ CARSEN CORP
22833,CHASE NATIONAL LIFE INSURANCE CO
22840,CONSOLIDATED FOODS CORP
22841,CHATEAU DE VILLE INC
22859,DAYTON POWER & LIGHT CO
22860,CHART HOUSE INC
22867,DE SOTO INC
22883,HOWARD STORES CORP
22891,MERCANTILE STORES INC
22892,CHATHAM MANUFACTURING CO
22905,CHATTEM INC
22912,NATIONAL CITY LINES INC
22920,INGREDIENT TECHNOLOGY CORP
22921,CHECKPOINT SYSTEMS INC
22940,CHEEZEM DEVELOPMENT CORP
22947,CINCINNATI GAS & ELEC CO
22955,COLUMBUS & SOUTHN OHIO ELEC CO
22964,CHEM LAWN CORP
22972,CHEM NUCLEAR SYS INC
22998,STERCHI BROTHERS STORES INC
23026,OHIO EDISON CO
23034,WAYNE GOSSARD CORP
23042,EMPIRE DISTRICT ELEC CO
23050,REEVES BROTHERS INC
23051,CHEMICAL LEAMAN CORP
23070,CHEMINEER INC
23077,HEINZ H J CO
23085,SOUTH CAROLINA ELEC & GAS CO
23106,CARLING OKEEFE LTD
23114,CAROLINA POWER & LIGHT CO
23115,CHERRY ELECTRICAL PRODS CORP
