Date: 2005-03-18 00:00:00, Volatility: 0.094063, Naive Volatility: 0.096129, Shrinkage: 0.31
Date: 2005-05-12 00:00:00, Volatility: 0.063739, Naive Volatility: 0.065426, Shrinkage: 0.33
Date: 2005-05-13 00:00:00, Volatility: 0.054792, Naive Volatility: 0.056448, Shrinkage: 0.32
Date: 2005-05-16 00:00:00, Volatility: 0.051171, Naive Volatility: 0.054265, Shrinkage: 0.34
Date: 2005-05-17 00:00:00, Volatility: 0.049739, Naive Volatility: 0.055163, Shrinkage: 0.59
Date: 2005-05-18 00:00:00, Volatility: 0.046601, Naive Volatility: 0.053033, Shrinkage: 0.56
Date: 2005-05-19 00:00:00, Volatility: 0.048839, Naive Volatility: 0.053693, Shrinkage: 0.47
Date: 2005-05-20 00:00:00, Volatility: 0.047949, Naive Volatility: 0.052623, Shrinkage: 0.47
Date: 2005-05-23 00:00:00, Volatility: 0.048030, Naive Volatility: 0.054143, Shrinkage: 0.53
Date: 2005-05-24 00:00:00, Volatility: 0.047755, Naive Volatility: 0.053951, Shrinkage: 0.55
Date: 2005-05-25 00:00:00, Volatility: 0.051409, Naive Volatility: 0.058678, Shrinkage: 0.65
Date: 2005-05-26 00:00:00, Volatility: 0.056196, Naive Volatility: 0.061510, Shrinkage: 0.53
Date: 2005-05-27 00:00:00, Volatility: 0.054697, Naive Volatility: 0.059467, Shrinkage: 0.54
Date: 2005-05-31 00:00:00, Volatility: 0.062180, Naive Volatility: 0.066283, Shrinkage: 0.52
Date: 2005-06-01 00:00:00, Volatility: 0.058731, Naive Volatility: 0.063669, Shrinkage: 0.51
Date: 2005-06-02 00:00:00, Volatility: 0.059350, Naive Volatility: 0.063784, Shrinkage: 0.51
Date: 2005-06-03 00:00:00, Volatility: 0.057699, Naive Volatility: 0.061386, Shrinkage: 0.51
Date: 2005-06-06 00:00:00, Volatility: 0.058609, Naive Volatility: 0.062073, Shrinkage: 0.45
Date: 2005-06-07 00:00:00, Volatility: 0.066511, Naive Volatility: 0.069438, Shrinkage: 0.44
Date: 2005-06-08 00:00:00, Volatility: 0.065943, Naive Volatility: 0.068489, Shrinkage: 0.44
Date: 2005-06-09 00:00:00, Volatility: 0.072714, Naive Volatility: 0.075014, Shrinkage: 0.46
Date: 2005-06-10 00:00:00, Volatility: 0.075391, Naive Volatility: 0.075621, Shrinkage: 0.16
Date: 2005-06-13 00:00:00, Volatility: 0.074482, Naive Volatility: 0.074729, Shrinkage: 0.19
Date: 2005-06-14 00:00:00, Volatility: 0.073456, Naive Volatility: 0.073480, Shrinkage: 0.11
Date: 2005-06-15 00:00:00, Volatility: 0.072896, Naive Volatility: 0.072948, Shrinkage: 0.15
Date: 2005-06-16 00:00:00, Volatility: 0.071708, Naive Volatility: 0.071790, Shrinkage: 0.15
Date: 2005-06-17 00:00:00, Volatility: 0.073477, Naive Volatility: 0.073621, Shrinkage: 0.15
Date: 2005-06-20 00:00:00, Volatility: 0.075090, Naive Volatility: 0.075159, Shrinkage: 0.05
Date: 2005-06-21 00:00:00, Volatility: 0.074796, Naive Volatility: 0.074891, Shrinkage: 0.15
Date: 2005-06-22 00:00:00, Volatility: 0.076031, Naive Volatility: 0.076125, Shrinkage: 0.15
Date: 2005-06-23 00:00:00, Volatility: 0.074594, Naive Volatility: 0.074963, Shrinkage: 0.18
Date: 2005-06-24 00:00:00, Volatility: 0.069581, Naive Volatility: 0.070229, Shrinkage: 0.25
Date: 2005-06-27 00:00:00, Volatility: 0.069104, Naive Volatility: 0.069691, Shrinkage: 0.24
Date: 2005-06-28 00:00:00, Volatility: 0.062834, Naive Volatility: 0.063465, Shrinkage: 0.27
Date: 2005-06-29 00:00:00, Volatility: 0.065877, Naive Volatility: 0.066948, Shrinkage: 0.27
Date: 2005-06-30 00:00:00, Volatility: 0.069878, Naive Volatility: 0.071357, Shrinkage: 0.31
Date: 2005-07-01 00:00:00, Volatility: 0.070446, Naive Volatility: 0.071544, Shrinkage: 0.30
Date: 2005-07-05 00:00:00, Volatility: 0.072286, Naive Volatility: 0.073031, Shrinkage: 0.33
Date: 2005-07-06 00:00:00, Volatility: 0.064423, Naive Volatility: 0.065798, Shrinkage: 0.32
Date: 2005-07-07 00:00:00, Volatility: 0.066359, Naive Volatility: 0.067240, Shrinkage: 0.27
Date: 2005-07-08 00:00:00, Volatility: 0.063890, Naive Volatility: 0.064252, Shrinkage: 0.21
Date: 2005-07-11 00:00:00, Volatility: 0.063523, Naive Volatility: 0.063858, Shrinkage: 0.20
Date: 2005-07-12 00:00:00, Volatility: 0.067920, Naive Volatility: 0.068392, Shrinkage: 0.22
Date: 2005-07-13 00:00:00, Volatility: 0.068043, Naive Volatility: 0.068405, Shrinkage: 0.22
Date: 2005-07-14 00:00:00, Volatility: 0.072327, Naive Volatility: 0.072678, Shrinkage: 0.19
Date: 2005-07-15 00:00:00, Volatility: 0.072978, Naive Volatility: 0.073180, Shrinkage: 0.15
Date: 2005-07-18 00:00:00, Volatility: 0.071142, Naive Volatility: 0.071204, Shrinkage: 0.13
Date: 2005-07-19 00:00:00, Volatility: 0.076721, Naive Volatility: 0.077002, Shrinkage: 0.00
Date: 2005-07-20 00:00:00, Volatility: 0.076431, Naive Volatility: 0.076941, Shrinkage: 0.00
Date: 2005-07-21 00:00:00, Volatility: 0.074861, Naive Volatility: 0.075434, Shrinkage: 0.00
Date: 2005-07-22 00:00:00, Volatility: 0.073059, Naive Volatility: 0.073625, Shrinkage: 0.00
Date: 2005-07-25 00:00:00, Volatility: 0.073191, Naive Volatility: 0.074451, Shrinkage: 0.00
Date: 2005-07-26 00:00:00, Volatility: 0.073210, Naive Volatility: 0.074722, Shrinkage: 0.00
Date: 2005-07-27 00:00:00, Volatility: 0.073737, Naive Volatility: 0.075590, Shrinkage: 0.00
Date: 2005-07-28 00:00:00, Volatility: 0.068342, Naive Volatility: 0.069656, Shrinkage: 0.00
Date: 2005-07-29 00:00:00, Volatility: 0.064185, Naive Volatility: 0.066741, Shrinkage: 0.00
Date: 2005-08-01 00:00:00, Volatility: 0.067182, Naive Volatility: 0.069254, Shrinkage: 0.00
Date: 2005-08-02 00:00:00, Volatility: 0.065260, Naive Volatility: 0.067181, Shrinkage: 0.00
Date: 2005-08-03 00:00:00, Volatility: 0.064530, Naive Volatility: 0.067469, Shrinkage: 0.00
Date: 2005-08-04 00:00:00, Volatility: 0.064751, Naive Volatility: 0.067465, Shrinkage: 0.00
Date: 2005-08-05 00:00:00, Volatility: 0.063563, Naive Volatility: 0.065062, Shrinkage: 0.00
Date: 2005-08-08 00:00:00, Volatility: 0.068389, Naive Volatility: 0.069842, Shrinkage: 0.00
Date: 2005-08-09 00:00:00, Volatility: 0.067089, Naive Volatility: 0.069052, Shrinkage: 0.00
Date: 2005-08-10 00:00:00, Volatility: 0.067918, Naive Volatility: 0.070336, Shrinkage: 0.00
Date: 2005-08-11 00:00:00, Volatility: 0.068060, Naive Volatility: 0.071083, Shrinkage: 0.00
Date: 2005-08-12 00:00:00, Volatility: 0.067895, Naive Volatility: 0.070060, Shrinkage: 0.00
Date: 2005-08-15 00:00:00, Volatility: 0.073010, Naive Volatility: 0.075099, Shrinkage: 0.00
Date: 2005-08-16 00:00:00, Volatility: 0.064478, Naive Volatility: 0.066137, Shrinkage: 0.00
Date: 2005-08-17 00:00:00, Volatility: 0.064350, Naive Volatility: 0.065902, Shrinkage: 0.00
Date: 2005-08-18 00:00:00, Volatility: 0.065225, Naive Volatility: 0.066421, Shrinkage: 0.00
Date: 2005-08-19 00:00:00, Volatility: 0.067108, Naive Volatility: 0.068381, Shrinkage: 0.00
Date: 2005-08-22 00:00:00, Volatility: 0.070068, Naive Volatility: 0.072342, Shrinkage: 0.00
Date: 2005-08-23 00:00:00, Volatility: 0.072097, Naive Volatility: 0.075005, Shrinkage: 0.00
Date: 2005-08-24 00:00:00, Volatility: 0.071384, Naive Volatility: 0.074096, Shrinkage: 0.00
Date: 2005-08-25 00:00:00, Volatility: 0.070764, Naive Volatility: 0.073376, Shrinkage: 0.00
Date: 2005-08-26 00:00:00, Volatility: 0.069537, Naive Volatility: 0.072088, Shrinkage: 0.00
Date: 2005-08-29 00:00:00, Volatility: 0.068325, Naive Volatility: 0.070707, Shrinkage: 0.00
Date: 2005-08-30 00:00:00, Volatility: 0.070173, Naive Volatility: 0.072528, Shrinkage: 0.00
Date: 2005-08-31 00:00:00, Volatility: 0.070359, Naive Volatility: 0.072131, Shrinkage: 0.00
Date: 2005-09-01 00:00:00, Volatility: 0.070263, Naive Volatility: 0.072329, Shrinkage: 0.00
Date: 2005-09-02 00:00:00, Volatility: 0.070301, Naive Volatility: 0.072614, Shrinkage: 0.00
Date: 2005-09-06 00:00:00, Volatility: 0.065952, Naive Volatility: 0.068043, Shrinkage: 0.00
Date: 2005-09-07 00:00:00, Volatility: 0.076916, Naive Volatility: 0.078167, Shrinkage: 0.00
Date: 2005-09-08 00:00:00, Volatility: 0.076848, Naive Volatility: 0.077791, Shrinkage: 0.00
Date: 2005-09-09 00:00:00, Volatility: 0.073305, Naive Volatility: 0.074129, Shrinkage: 0.00
Date: 2005-09-12 00:00:00, Volatility: 0.074733, Naive Volatility: 0.075074, Shrinkage: 0.00
Date: 2005-09-13 00:00:00, Volatility: 0.073336, Naive Volatility: 0.073812, Shrinkage: 0.00
Date: 2005-09-14 00:00:00, Volatility: 0.073098, Naive Volatility: 0.073613, Shrinkage: 0.00
Date: 2005-09-15 00:00:00, Volatility: 0.071564, Naive Volatility: 0.072127, Shrinkage: 0.00
Date: 2005-09-16 00:00:00, Volatility: 0.070809, Naive Volatility: 0.071165, Shrinkage: 0.04
Date: 2005-09-19 00:00:00, Volatility: 0.072690, Naive Volatility: 0.073285, Shrinkage: 0.00
Date: 2005-09-20 00:00:00, Volatility: 0.084803, Naive Volatility: 0.089612, Shrinkage: 0.37
Date: 2005-09-21 00:00:00, Volatility: 0.084920, Naive Volatility: 0.091749, Shrinkage: 0.47
Date: 2005-09-22 00:00:00, Volatility: 0.093080, Naive Volatility: 0.097098, Shrinkage: 0.40
Date: 2005-09-23 00:00:00, Volatility: 0.093973, Naive Volatility: 0.099663, Shrinkage: 0.42
Date: 2005-09-26 00:00:00, Volatility: 0.107664, Naive Volatility: 0.112137, Shrinkage: 0.42
Date: 2005-09-27 00:00:00, Volatility: 0.107287, Naive Volatility: 0.112614, Shrinkage: 0.44
Date: 2005-09-28 00:00:00, Volatility: 0.105926, Naive Volatility: 0.111604, Shrinkage: 0.45
Date: 2005-09-29 00:00:00, Volatility: 0.105432, Naive Volatility: 0.112610, Shrinkage: 0.49
Date: 2005-09-30 00:00:00, Volatility: 0.113734, Naive Volatility: 0.118031, Shrinkage: 0.40
Date: 2005-10-03 00:00:00, Volatility: 0.114655, Naive Volatility: 0.118291, Shrinkage: 0.33
Date: 2005-10-04 00:00:00, Volatility: 0.115962, Naive Volatility: 0.120905, Shrinkage: 0.34
Date: 2005-10-05 00:00:00, Volatility: 0.110021, Naive Volatility: 0.115076, Shrinkage: 0.38
Date: 2005-10-06 00:00:00, Volatility: 0.106040, Naive Volatility: 0.112317, Shrinkage: 0.39
Date: 2005-10-07 00:00:00, Volatility: 0.105931, Naive Volatility: 0.112677, Shrinkage: 0.38
Date: 2005-10-10 00:00:00, Volatility: 0.105086, Naive Volatility: 0.112653, Shrinkage: 0.40
Date: 2005-10-11 00:00:00, Volatility: 0.102287, Naive Volatility: 0.109462, Shrinkage: 0.39
Date: 2005-10-12 00:00:00, Volatility: 0.103368, Naive Volatility: 0.110786, Shrinkage: 0.44
Date: 2005-10-13 00:00:00, Volatility: 0.105995, Naive Volatility: 0.114677, Shrinkage: 0.45
Date: 2005-10-14 00:00:00, Volatility: 0.105407, Naive Volatility: 0.114396, Shrinkage: 0.44
Date: 2005-10-17 00:00:00, Volatility: 0.104890, Naive Volatility: 0.113090, Shrinkage: 0.43
Date: 2005-10-18 00:00:00, Volatility: 0.089286, Naive Volatility: 0.089997, Shrinkage: 0.17
Date: 2005-10-19 00:00:00, Volatility: 0.081448, Naive Volatility: 0.082996, Shrinkage: 0.00
Date: 2005-10-20 00:00:00, Volatility: 0.074317, Naive Volatility: 0.075125, Shrinkage: 0.00
Date: 2005-10-21 00:00:00, Volatility: 0.074096, Naive Volatility: 0.074958, Shrinkage: 0.00
Date: 2005-10-24 00:00:00, Volatility: 0.063738, Naive Volatility: 0.063893, Shrinkage: 0.09
Date: 2005-10-25 00:00:00, Volatility: 0.064868, Naive Volatility: 0.064914, Shrinkage: 0.13
Date: 2005-10-26 00:00:00, Volatility: 0.059385, Naive Volatility: 0.059410, Shrinkage: 0.11
Date: 2005-10-27 00:00:00, Volatility: 0.054641, Naive Volatility: 0.054809, Shrinkage: 0.15
Date: 2005-10-28 00:00:00, Volatility: 0.057236, Naive Volatility: 0.057304, Shrinkage: 0.14
Date: 2005-10-31 00:00:00, Volatility: 0.057412, Naive Volatility: 0.057599, Shrinkage: 0.15
Date: 2005-11-01 00:00:00, Volatility: 0.061373, Naive Volatility: 0.061562, Shrinkage: 0.00
Date: 2005-11-02 00:00:00, Volatility: 0.062926, Naive Volatility: 0.063395, Shrinkage: 0.00
Date: 2005-11-03 00:00:00, Volatility: 0.065296, Naive Volatility: 0.065315, Shrinkage: 0.14
Date: 2005-11-04 00:00:00, Volatility: 0.065881, Naive Volatility: 0.066879, Shrinkage: 0.25
Date: 2005-11-07 00:00:00, Volatility: 0.063305, Naive Volatility: 0.066799, Shrinkage: 0.49
Date: 2005-11-08 00:00:00, Volatility: 0.065439, Naive Volatility: 0.065741, Shrinkage: 0.19
Date: 2005-11-09 00:00:00, Volatility: 0.065567, Naive Volatility: 0.066026, Shrinkage: 0.20
Date: 2005-11-10 00:00:00, Volatility: 0.060650, Naive Volatility: 0.060702, Shrinkage: 0.13
Date: 2005-11-11 00:00:00, Volatility: 0.060570, Naive Volatility: 0.060475, Shrinkage: 0.14
Date: 2005-11-14 00:00:00, Volatility: 0.058687, Naive Volatility: 0.058913, Shrinkage: 0.19
Date: 2005-11-15 00:00:00, Volatility: 0.058600, Naive Volatility: 0.058662, Shrinkage: 0.04
Date: 2005-11-16 00:00:00, Volatility: 0.059180, Naive Volatility: 0.059425, Shrinkage: 0.00
Date: 2005-11-17 00:00:00, Volatility: 0.053330, Naive Volatility: 0.053393, Shrinkage: 0.15
Date: 2005-11-18 00:00:00, Volatility: 0.054827, Naive Volatility: 0.054845, Shrinkage: 0.13
Date: 2005-11-21 00:00:00, Volatility: 0.056897, Naive Volatility: 0.057400, Shrinkage: 0.22
Date: 2005-11-22 00:00:00, Volatility: 0.055905, Naive Volatility: 0.056468, Shrinkage: 0.26
Date: 2005-11-23 00:00:00, Volatility: 0.056178, Naive Volatility: 0.056500, Shrinkage: 0.23
Date: 2005-11-25 00:00:00, Volatility: 0.056013, Naive Volatility: 0.056519, Shrinkage: 0.23
Date: 2005-11-28 00:00:00, Volatility: 0.059129, Naive Volatility: 0.059818, Shrinkage: 0.27
Date: 2005-11-29 00:00:00, Volatility: 0.059619, Naive Volatility: 0.060637, Shrinkage: 0.28
Date: 2005-11-30 00:00:00, Volatility: 0.056375, Naive Volatility: 0.058410, Shrinkage: 0.33
Date: 2005-12-01 00:00:00, Volatility: 0.050177, Naive Volatility: 0.055331, Shrinkage: 0.47
Date: 2005-12-02 00:00:00, Volatility: 0.059550, Naive Volatility: 0.062832, Shrinkage: 0.44
Date: 2005-12-05 00:00:00, Volatility: 0.060620, Naive Volatility: 0.062060, Shrinkage: 0.27
Date: 2005-12-06 00:00:00, Volatility: 0.060354, Naive Volatility: 0.061913, Shrinkage: 0.29
Date: 2005-12-07 00:00:00, Volatility: 0.065581, Naive Volatility: 0.067858, Shrinkage: 0.31
Date: 2005-12-08 00:00:00, Volatility: 0.067030, Naive Volatility: 0.069370, Shrinkage: 0.31
Date: 2005-12-09 00:00:00, Volatility: 0.066298, Naive Volatility: 0.068738, Shrinkage: 0.38
Date: 2005-12-12 00:00:00, Volatility: 0.066002, Naive Volatility: 0.067535, Shrinkage: 0.28
Date: 2005-12-13 00:00:00, Volatility: 0.066019, Naive Volatility: 0.070035, Shrinkage: 0.45
Date: 2005-12-14 00:00:00, Volatility: 0.065791, Naive Volatility: 0.069500, Shrinkage: 0.48
Date: 2005-12-15 00:00:00, Volatility: 0.066397, Naive Volatility: 0.069757, Shrinkage: 0.45
Date: 2005-12-16 00:00:00, Volatility: 0.066328, Naive Volatility: 0.069017, Shrinkage: 0.44
Date: 2005-12-19 00:00:00, Volatility: 0.065006, Naive Volatility: 0.069452, Shrinkage: 0.48
Date: 2005-12-20 00:00:00, Volatility: 0.079583, Naive Volatility: 0.082929, Shrinkage: 0.50
Date: 2005-12-21 00:00:00, Volatility: 0.078927, Naive Volatility: 0.082203, Shrinkage: 0.49
Date: 2005-12-22 00:00:00, Volatility: 0.079666, Naive Volatility: 0.082493, Shrinkage: 0.44
Date: 2005-12-23 00:00:00, Volatility: 0.083424, Naive Volatility: 0.084397, Shrinkage: 0.18
Date: 2005-12-27 00:00:00, Volatility: 0.080836, Naive Volatility: 0.081308, Shrinkage: 0.15
Date: 2005-12-28 00:00:00, Volatility: 0.080937, Naive Volatility: 0.081523, Shrinkage: 0.17
Date: 2005-12-29 00:00:00, Volatility: 0.080033, Naive Volatility: 0.080174, Shrinkage: 0.14
Date: 2005-12-30 00:00:00, Volatility: 0.078027, Naive Volatility: 0.078697, Shrinkage: 0.20
Date: 2006-01-03 00:00:00, Volatility: 0.071114, Naive Volatility: 0.073284, Shrinkage: 0.43
Date: 2006-01-04 00:00:00, Volatility: 0.073197, Naive Volatility: 0.073584, Shrinkage: 0.00
Date: 2006-01-05 00:00:00, Volatility: 0.073196, Naive Volatility: 0.075702, Shrinkage: 0.49
Date: 2006-01-06 00:00:00, Volatility: 0.067208, Naive Volatility: 0.067503, Shrinkage: 0.15
Date: 2006-01-09 00:00:00, Volatility: 0.065573, Naive Volatility: 0.066552, Shrinkage: 0.51
Date: 2006-01-10 00:00:00, Volatility: 0.072273, Naive Volatility: 0.073061, Shrinkage: 0.20
Date: 2006-01-11 00:00:00, Volatility: 0.071379, Naive Volatility: 0.072960, Shrinkage: 0.39
Date: 2006-01-12 00:00:00, Volatility: 0.071572, Naive Volatility: 0.072052, Shrinkage: 0.18
Date: 2006-01-13 00:00:00, Volatility: 0.071471, Naive Volatility: 0.072025, Shrinkage: 0.19
Date: 2006-01-17 00:00:00, Volatility: 0.077055, Naive Volatility: 0.079728, Shrinkage: 0.42
Date: 2006-01-18 00:00:00, Volatility: 0.078299, Naive Volatility: 0.081383, Shrinkage: 0.43
Date: 2006-01-19 00:00:00, Volatility: 0.082829, Naive Volatility: 0.087347, Shrinkage: 0.46
Date: 2006-01-20 00:00:00, Volatility: 0.067844, Naive Volatility: 0.072578, Shrinkage: 0.41
Date: 2006-01-23 00:00:00, Volatility: 0.068983, Naive Volatility: 0.073072, Shrinkage: 0.40
Date: 2006-01-24 00:00:00, Volatility: 0.068603, Naive Volatility: 0.071705, Shrinkage: 0.37
Date: 2006-01-25 00:00:00, Volatility: 0.065792, Naive Volatility: 0.068630, Shrinkage: 0.35
Date: 2006-01-26 00:00:00, Volatility: 0.065159, Naive Volatility: 0.068908, Shrinkage: 0.38
Date: 2006-01-27 00:00:00, Volatility: 0.064436, Naive Volatility: 0.068595, Shrinkage: 0.39
Date: 2006-01-30 00:00:00, Volatility: 0.077904, Naive Volatility: 0.079265, Shrinkage: 0.33
Date: 2006-01-31 00:00:00, Volatility: 0.076916, Naive Volatility: 0.077714, Shrinkage: 0.24
Date: 2006-02-01 00:00:00, Volatility: 0.076761, Naive Volatility: 0.077266, Shrinkage: 0.22
Date: 2006-02-02 00:00:00, Volatility: 0.079739, Naive Volatility: 0.080040, Shrinkage: 0.25
Date: 2006-02-03 00:00:00, Volatility: 0.080259, Naive Volatility: 0.080357, Shrinkage: 0.15
Date: 2006-02-06 00:00:00, Volatility: 0.080335, Naive Volatility: 0.080362, Shrinkage: 0.15
Date: 2006-02-07 00:00:00, Volatility: 0.080016, Naive Volatility: 0.080145, Shrinkage: 0.19
Date: 2006-02-08 00:00:00, Volatility: 0.075015, Naive Volatility: 0.075250, Shrinkage: 0.07
Date: 2006-02-09 00:00:00, Volatility: 0.077572, Naive Volatility: 0.077962, Shrinkage: 0.00
Date: 2006-02-10 00:00:00, Volatility: 0.077364, Naive Volatility: 0.077860, Shrinkage: 0.00
Date: 2006-02-13 00:00:00, Volatility: 0.076117, Naive Volatility: 0.077527, Shrinkage: 0.00
Date: 2006-02-14 00:00:00, Volatility: 0.071642, Naive Volatility: 0.073116, Shrinkage: 0.00
Date: 2006-02-15 00:00:00, Volatility: 0.071080, Naive Volatility: 0.072636, Shrinkage: 0.00
Date: 2006-02-16 00:00:00, Volatility: 0.065853, Naive Volatility: 0.068161, Shrinkage: 0.00
Date: 2006-02-17 00:00:00, Volatility: 0.067497, Naive Volatility: 0.069396, Shrinkage: 0.00
Date: 2006-02-21 00:00:00, Volatility: 0.068982, Naive Volatility: 0.070343, Shrinkage: 0.00
Date: 2006-02-22 00:00:00, Volatility: 0.072052, Naive Volatility: 0.073647, Shrinkage: 0.00
Date: 2006-02-23 00:00:00, Volatility: 0.072133, Naive Volatility: 0.074114, Shrinkage: 0.00
Date: 2006-02-24 00:00:00, Volatility: 0.068499, Naive Volatility: 0.071193, Shrinkage: 0.00
Date: 2006-02-27 00:00:00, Volatility: 0.071723, Naive Volatility: 0.073630, Shrinkage: 0.00
Date: 2006-02-28 00:00:00, Volatility: 0.066289, Naive Volatility: 0.066432, Shrinkage: 0.13
Date: 2006-03-01 00:00:00, Volatility: 0.064876, Naive Volatility: 0.068312, Shrinkage: 0.51
Date: 2006-03-02 00:00:00, Volatility: 0.067621, Naive Volatility: 0.071775, Shrinkage: 0.53
Date: 2006-03-03 00:00:00, Volatility: 0.068131, Naive Volatility: 0.072324, Shrinkage: 0.50
Date: 2006-03-06 00:00:00, Volatility: 0.066588, Naive Volatility: 0.073169, Shrinkage: 0.56
Date: 2006-03-07 00:00:00, Volatility: 0.066936, Naive Volatility: 0.073301, Shrinkage: 0.57
Date: 2006-03-08 00:00:00, Volatility: 0.064439, Naive Volatility: 0.070748, Shrinkage: 0.55
Date: 2006-03-09 00:00:00, Volatility: 0.065293, Naive Volatility: 0.070864, Shrinkage: 0.54
Date: 2006-03-10 00:00:00, Volatility: 0.069094, Naive Volatility: 0.073830, Shrinkage: 0.53
Date: 2006-03-13 00:00:00, Volatility: 0.069560, Naive Volatility: 0.074157, Shrinkage: 0.53
Date: 2006-03-14 00:00:00, Volatility: 0.070712, Naive Volatility: 0.076980, Shrinkage: 0.61
Date: 2006-03-15 00:00:00, Volatility: 0.069975, Naive Volatility: 0.077554, Shrinkage: 0.63
Date: 2006-03-16 00:00:00, Volatility: 0.068177, Naive Volatility: 0.076195, Shrinkage: 0.62
Date: 2006-03-17 00:00:00, Volatility: 0.067674, Naive Volatility: 0.074982, Shrinkage: 0.60
Date: 2006-03-20 00:00:00, Volatility: 0.074211, Naive Volatility: 0.078758, Shrinkage: 0.46
Date: 2006-03-21 00:00:00, Volatility: 0.074941, Naive Volatility: 0.079716, Shrinkage: 0.49
Date: 2006-03-22 00:00:00, Volatility: 0.071677, Naive Volatility: 0.075961, Shrinkage: 0.46
Date: 2006-03-23 00:00:00, Volatility: 0.070666, Naive Volatility: 0.075272, Shrinkage: 0.45
Date: 2006-03-24 00:00:00, Volatility: 0.069424, Naive Volatility: 0.072879, Shrinkage: 0.44
Date: 2006-03-27 00:00:00, Volatility: 0.067137, Naive Volatility: 0.069799, Shrinkage: 0.42
